Date,HQC_Conc,HQC_Mean,HQC_+2SD,HQC_-2SD,HQC_+3SD,HQC_-3SD,LQC_Conc,LQC_Mean,LQC_+2SD,LQC_-2SD,LQC_+3SD,LQC_-3SD
06/02/2026,24.184,27.8923,38.3809,17.4037,43.6252,12.1594,1.389,1.6177,2.2644,0.9709,2.5878,0.6476
20/04/2026,31.6005,27.8923,38.3809,17.4037,43.6252,12.1594,1.8463,1.6177,2.2644,0.9709,2.5878,0.6476
