Date,HQC_Conc,HQC_Mean,HQC_+2SD,HQC_-2SD,HQC_+3SD,HQC_-3SD,LQC_Conc,LQC_Mean,LQC_+2SD,LQC_-2SD,LQC_+3SD,LQC_-3SD
06/02/2026,76.2995,76.6607,77.6823,75.6391,78.1931,75.1283,4.246,4.6046,5.6187,3.5904,6.1257,3.0834
20/04/2026,77.0219,76.6607,77.6823,75.6391,78.1931,75.1283,4.9631,4.6046,5.6187,3.5904,6.1257,3.0834
