Date,HQC_Conc,HQC_Mean,HQC_+2SD,HQC_-2SD,HQC_+3SD,HQC_-3SD,LQC_Conc,LQC_Mean,LQC_+2SD,LQC_-2SD,LQC_+3SD,LQC_-3SD
06/02/2026,130.855,124.9949,141.5697,108.4201,149.8571,100.1328,5.8465,6.473,8.245,4.701,9.1309,3.815
20/04/2026,119.1349,124.9949,141.5697,108.4201,149.8571,100.1328,7.0995,6.473,8.245,4.701,9.1309,3.815
