Date,HQC_Conc,HQC_Mean,HQC_+2SD,HQC_-2SD,HQC_+3SD,HQC_-3SD,LQC_Conc,LQC_Mean,LQC_+2SD,LQC_-2SD,LQC_+3SD,LQC_-3SD
06/02/2026,9.893,9.349,10.8877,7.8103,11.657,7.041,0.532,0.5405,0.5645,0.5165,0.5766,0.5044
20/04/2026,8.805,9.349,10.8877,7.8103,11.657,7.041,0.549,0.5405,0.5645,0.5165,0.5766,0.5044
