Date,HQC_Conc,HQC_Mean,HQC_+2SD,HQC_-2SD,HQC_+3SD,HQC_-3SD,LQC_Conc,LQC_Mean,LQC_+2SD,LQC_-2SD,LQC_+3SD,LQC_-3SD
06/02/2026,9.5395,9.1017,10.34,7.8634,10.9592,7.2442,0.8,0.8352,0.9346,0.7357,0.9843,0.686
20/04/2026,8.6639,9.1017,10.34,7.8634,10.9592,7.2442,0.8703,0.8352,0.9346,0.7357,0.9843,0.686
